t,v1,v2,v3,v4,v1_external,v2_external,v3_external,v4_external
8.999999999999999667e-02,1.677475384132429914e+00,1.014076079322908247e-01,1.062848675902335671e+00,6.059865207120200825e-01,1.151967962300449289e+00,-2.386568832407440222e-01,1.062478333065699720e+00,-3.370542127377715858e-01
9.500000000000000111e-02,1.704153589500405186e+00,1.155970046909264859e-01,1.108753111995361973e+00,5.957889017065116644e-01,1.178646167668424560e+00,-2.244674864821083471e-01,1.108382769158726022e+00,-3.472518317432800039e-01
1.000000000000000056e-01,1.728354643330538787e+00,1.282393310878884307e-01,1.158435927759948969e+00,5.917096097437952729e-01,1.202847221498558161e+00,-2.118251600851464023e-01,1.158065584923313018e+00,-3.513311237059963954e-01
1.049999999999999961e-01,1.749478125198244749e+00,1.455099043207637166e-01,1.204906786320450784e+00,5.842828461846774069e-01,1.223970703366264123e+00,-1.945545868522711164e-01,1.204536443483814834e+00,-3.587578872651142614e-01
1.100000000000000006e-01,1.772318132403722490e+00,1.561820797524802740e-01,1.249231277166917842e+00,5.768567306797111049e-01,1.246810710571741865e+00,-1.838824114205545590e-01,1.248860934330281891e+00,-3.661840027700805633e-01
1.150000000000000050e-01,1.789452797662052230e+00,1.706516428983023415e-01,1.290452224155355321e+00,5.654479807429444449e-01,1.263945375830071605e+00,-1.694128482747324915e-01,1.290081881318719370e+00,-3.775927527068472234e-01
1.199999999999999956e-01,1.797743502141266880e+00,1.844853059949004837e-01,1.338480987894648644e+00,5.583481505259509925e-01,1.272236080309286255e+00,-1.555791851781343493e-01,1.338110645058012693e+00,-3.846925829238406758e-01
1.250000000000000000e-01,1.813148943974460359e+00,1.984057527907994445e-01,1.381712767881307036e+00,5.497583233890634968e-01,1.287641522142479733e+00,-1.416587383822353885e-01,1.381342425044671085e+00,-3.932824100607281714e-01
1.300000000000000044e-01,1.828399349005644492e+00,2.131603914670516520e-01,1.419926196428148657e+00,5.394412858629591412e-01,1.302891927173663866e+00,-1.269040997059831810e-01,1.419555853591512706e+00,-4.035994475868325271e-01
1.350000000000000089e-01,1.837821374327180290e+00,2.274639436980080698e-01,1.461068585744341952e+00,5.302253040063606981e-01,1.312313952495199665e+00,-1.126005474750267632e-01,1.460698242907706002e+00,-4.128154294434309701e-01
1.400000000000000133e-01,1.847146468487254944e+00,2.383009049313503103e-01,1.500096020188991242e+00,5.173027760858484037e-01,1.321639046655274319e+00,-1.017635862416845227e-01,1.499725677352355291e+00,-4.257379573639432646e-01
1.449999999999999900e-01,1.853392297544844691e+00,2.573373004694980981e-01,1.537250560357582563e+00,5.063805942715469133e-01,1.327884875712864066e+00,-8.272719070353673487e-02,1.536880217520946612e+00,-4.366601391782447550e-01
1.499999999999999944e-01,1.861671537110473729e+00,2.708304050285721964e-01,1.574179950548300289e+00,4.910559875177758493e-01,1.336164115278493103e+00,-6.923408614446263654e-02,1.573809607711664338e+00,-4.519847459320158189e-01
1.549999999999999989e-01,1.857990004366983694e+00,2.862238974997673990e-01,1.610960879116777322e+00,4.878218606452749406e-01,1.332482582535003068e+00,-5.384059367326743395e-02,1.610590536280141372e+00,-4.552188728045167276e-01
1.600000000000000033e-01,1.860602135542742452e+00,2.995846756906482833e-01,1.643575681189482607e+00,4.762061451213385199e-01,1.335094713710761827e+00,-4.047981548238654970e-02,1.643205338352846656e+00,-4.668345883284531483e-01
1.650000000000000078e-01,1.865020652525811728e+00,3.142140062755983121e-01,1.670808451531084371e+00,4.667610479712941962e-01,1.339513230693831103e+00,-2.585048489743652089e-02,1.670438108694448420e+00,-4.762796854784974721e-01
1.700000000000000122e-01,1.860313646810802801e+00,3.304269389398257761e-01,1.704174887547887707e+00,4.524930120370864728e-01,1.334806224978822176e+00,-9.637552233209056851e-03,1.703804544711251756e+00,-4.905477214127051955e-01
1.749999999999999889e-01,1.857014670045202820e+00,3.437095652403739376e-01,1.733290757033014939e+00,4.442756185020785287e-01,1.331507248213222194e+00,3.645074067339104662e-03,1.732920414196378989e+00,-4.987651149477131396e-01
1.799999999999999933e-01,1.849990070675229470e+00,3.587248126341647247e-01,1.758846959125414333e+00,4.330016814723637864e-01,1.324482648843248844e+00,1.866032146112989176e-02,1.758476616288778382e+00,-5.100390519774278264e-01
1.849999999999999978e-01,1.841792427331834459e+00,3.728408303033942661e-01,1.781909056340580833e+00,4.204539559009688454e-01,1.316285005499853833e+00,3.277633913035943314e-02,1.781538713503944882e+00,-5.225867775488228784e-01
1.900000000000000022e-01,1.838315735354668412e+00,3.858684951407201913e-01,1.812970406275524304e+00,4.093014669779411197e-01,1.312808313522687786e+00,4.580400396768535831e-02,1.812600063438888354e+00,-5.337392664718505486e-01
1.950000000000000067e-01,1.829994083648434300e+00,3.993318560721718091e-01,1.834909869298848140e+00,3.968508772981975685e-01,1.304486661816453674e+00,5.926736489913697614e-02,1.834539526462212189e+00,-5.461898561515940997e-01
2.000000000000000111e-01,1.818100895978889575e+00,4.108626164002326941e-01,1.856349017973212501e+00,3.880999768832181229e-01,1.292593474146908950e+00,7.079812522719786116e-02,1.855978675136576550e+00,-5.549407565665736008e-01
2.049999999999999878e-01,1.809033761080397262e+00,4.242167176523296557e-01,1.874870913487763691e+00,3.774897612139198610e-01,1.283526339248416637e+00,8.415222647929482269e-02,1.874500570651127740e+00,-5.655509722358718072e-01
2.099999999999999922e-01,1.799245640193052553e+00,4.381846173640465136e-01,1.896456801813154902e+00,3.639756550723161066e-01,1.273738218361071928e+00,9.812012619101168065e-02,1.896086458976518951e+00,-5.790650783774755617e-01
2.149999999999999967e-01,1.785713112734716113e+00,4.485381733146662220e-01,1.914481504328900296e+00,3.545438839669012299e-01,1.260205690902735487e+00,1.084736821416313890e-01,1.914111161492264346e+00,-5.884968494828903829e-01
2.200000000000000011e-01,1.774919096558125853e+00,4.616522735009542799e-01,1.929311113875694206e+00,3.467700141038366213e-01,1.249411674726145227e+00,1.215877823279194470e-01,1.928940771039058255e+00,-5.962707193459551025e-01
2.250000000000000056e-01,1.762194465582250791e+00,4.718631335219476974e-01,1.942812603680530215e+00,3.416550547825107920e-01,1.236687043750270165e+00,1.317986423489128645e-01,1.942442260843894264e+00,-6.013856786672808763e-01
2.300000000000000100e-01,1.748409754728093901e+00,4.846376593563455626e-01,1.957894797229261741e+00,3.294220889504512195e-01,1.222902332896113275e+00,1.445731681833107296e-01,1.957524454392625790e+00,-6.136186444993404487e-01
2.349999999999999867e-01,1.733178097373586635e+00,4.912339502997344343e-01,1.967102613382210929e+00,3.157189818575015239e-01,1.207670675541606009e+00,1.511694591266996013e-01,1.966732270545574979e+00,-6.273217515922901999e-01
2.399999999999999911e-01,1.720814295746078360e+00,5.038692102486633795e-01,1.978757324877251422e+00,3.080768908547841800e-01,1.195306873914097734e+00,1.638047190756285465e-01,1.978386982040615472e+00,-6.349638425950074883e-01
2.449999999999999956e-01,1.706493312605838142e+00,5.147820546479122683e-01,1.984875783052460152e+00,3.023250824528568304e-01,1.180985890773857516e+00,1.747175634748774353e-01,1.984505440215824201e+00,-6.407156509969348379e-01
2.500000000000000000e-01,1.690145849924647115e+00,5.210365245877159879e-01,1.995305157264354534e+00,2.939599782158981989e-01,1.164638428092666489e+00,1.809720334146811549e-01,1.994934814427718583e+00,-6.490807552338935249e-01
2.550000000000000044e-01,1.672427587193388021e+00,5.319227547641460774e-01,2.005761210802068373e+00,2.835629433200624883e-01,1.146920165361407395e+00,1.918582635911112444e-01,2.005390867965432644e+00,-6.594777901297291800e-01
2.600000000000000089e-01,1.659908402896913771e+00,5.410228070638553044e-01,2.012265710665247731e+00,2.758989345728289355e-01,1.134400981064933145e+00,2.009583158908204714e-01,2.011895367828612002e+00,-6.671417988769627883e-01
2.650000000000000133e-01,1.641695526116204285e+00,5.484672387599057730e-01,2.017605092322510618e+00,2.661542122460449633e-01,1.116188104284223659e+00,2.084027475868709400e-01,2.017234749485874890e+00,-6.768865212037467050e-01
2.700000000000000178e-01,1.628630034830019335e+00,5.585554668687426894e-01,2.021169927409615319e+00,2.618479386030419520e-01,1.103122612998038710e+00,2.184909756957078564e-01,2.020799584572979590e+00,-6.811927948467497718e-01
2.750000000000000222e-01,1.608865830941417885e+00,5.650904524947220064e-01,2.022101691032172077e+00,2.555298037081364382e-01,1.083358409109437259e+00,2.250259613216871735e-01,2.021731348195536349e+00,-6.875109297416552856e-01
2.800000000000000266e-01,1.596981466959169094e+00,5.712860996177264727e-01,2.027867232772845529e+00,2.446575643287116353e-01,1.071474045127188468e+00,2.312216084446916398e-01,2.027496889936209801e+00,-6.983831691210800052e-01
2.849999999999999756e-01,1.579298722476682348e+00,5.804317619205501266e-01,2.033321171417743045e+00,2.383536721405854764e-01,1.053791300644701723e+00,2.403672707475152936e-01,2.032950828581107316e+00,-7.046870613092062197e-01
2.899999999999999800e-01,1.561105376982750093e+00,5.862259401738759701e-01,2.030498151813469043e+00,2.324041500446708264e-01,1.035597955150769467e+00,2.461614490008411371e-01,2.030127808976833315e+00,-7.106365834051208141e-01
2.949999999999999845e-01,1.547348163071115890e+00,5.974558705751354948e-01,2.035853234019262548e+00,2.268162719366196567e-01,1.021840741239135264e+00,2.573913794021006618e-01,2.035482891182626819e+00,-7.162244615131719838e-01
2.999999999999999889e-01,1.532594588000236069e+00,5.948991127252817313e-01,2.034584364718028393e+00,2.215127914683317212e-01,1.007087166168255443e+00,2.548346215522468983e-01,2.034214021881392664e+00,-7.215279419814599748e-01
3.049999999999999933e-01,1.517705007504295711e+00,6.041305783020246567e-01,2.035421989064986281e+00,2.149724555239665158e-01,9.921975856723150855e-01,2.640660871289898237e-01,2.035051646228350553e+00,-7.280682779258251802e-01
3.099999999999999978e-01,1.500053112227867969e+00,6.092603802284742853e-01,2.034117404411381003e+00,2.076886845661783665e-01,9.745456903958873429e-01,2.691958890554394523e-01,2.033747061574745274e+00,-7.353520488836132740e-01
3.150000000000000022e-01,1.484865457065662975e+00,6.146137603560103413e-01,2.038530554765435099e+00,1.989800244817684360e-01,9.593580352336823491e-01,2.745492691829755083e-01,2.038160211928799370e+00,-7.440607089680232322e-01
3.200000000000000067e-01,1.472763708370702584e+00,6.156812712780113106e-01,2.035317993227874656e+00,1.946054384955458461e-01,9.472562865387219588e-01,2.756167801049764776e-01,2.034947650391238927e+00,-7.484352949542458777e-01
3.250000000000000111e-01,1.456951428894137868e+00,6.245869947167190794e-01,2.033660938933660844e+00,1.896406875880732867e-01,9.314440070621572421e-01,2.845225035436842465e-01,2.033290596097025116e+00,-7.534000458617183815e-01
3.300000000000000155e-01,1.444124394576388415e+00,6.278207168361642498e-01,2.037020949897770716e+00,1.851929519537340030e-01,9.186169727444077893e-01,2.877562256631294169e-01,2.036650607061134988e+00,-7.578477814960576930e-01
3.350000000000000200e-01,1.431198663457487363e+00,6.346507823874947274e-01,2.028798095343267605e+00,1.824570088672338719e-01,9.056912416255067377e-01,2.945862912144598944e-01,2.028427752506631876e+00,-7.605837245825577408e-01
