t,v1,v2,v3,v4
1.900000000000000022e-01,9.336292277260558325e-01,1.072833102489204743e-01,8.312725216397230943e-01,1.716969777974230171e-01
1.950000000000000067e-01,9.225309502327843081e-01,1.182533940659562383e-01,8.488891014452877304e-01,1.565055524272987164e-01
2.000000000000000111e-01,9.085192118602399836e-01,1.278021717075495944e-01,8.667519961415154350e-01,1.455880257818323587e-01
2.049999999999999878e-01,8.979597734852270419e-01,1.396620042843370602e-01,8.824133764625268217e-01,1.333583509773617892e-01
2.099999999999999922e-01,8.872729949674069694e-01,1.525991552182880684e-01,9.018222772070175752e-01,1.187442867293426879e-01
2.149999999999999967e-01,8.734023342246465260e-01,1.623608547028528304e-01,9.183202681431194003e-01,1.087039700492704181e-01
2.200000000000000011e-01,8.627973058143801888e-01,1.752971002217472152e-01,9.322394195827123919e-01,1.007846458053901634e-01
2.250000000000000056e-01,8.507553207898309600e-01,1.857191140689952724e-01,9.454121682328817666e-01,9.595894633712824529e-02
2.300000000000000100e-01,8.381135970333838392e-01,1.990688552972131042e-01,9.607125298684398018e-01,8.442168636337592236e-02
2.349999999999999867e-01,8.244522848261133241e-01,2.065796604727790642e-01,9.706505718945477312e-01,7.179272281042628490e-02
2.399999999999999911e-01,8.140537078662014592e-01,2.204442811915878486e-01,9.835128830117163545e-01,6.557560245764451623e-02
2.449999999999999956e-01,8.020610081092901522e-01,2.328773055814032100e-01,9.912819921629203446e-01,6.157250351923295589e-02
2.500000000000000000e-01,7.883738603550082269e-01,2.409192753174779489e-01,1.003771284848666845e+00,5.525339287892937212e-02
2.550000000000000044e-01,7.736178296081611672e-01,2.538374450209174849e-01,1.016663438461316238e+00,4.717391306561402597e-02
2.600000000000000089e-01,7.643336952967451081e-01,2.651916960599903783e-01,1.025947974076048208e+00,4.207411613072340600e-02
2.650000000000000133e-01,7.496006899752374331e-01,2.750911740890614743e-01,1.034380046079700133e+00,3.511624923305833867e-02
2.700000000000000178e-01,7.402330698541813581e-01,2.878147122981559169e-01,1.041320018030661432e+00,3.379641533771316625e-02
2.750000000000000222e-01,7.243591480289099938e-01,2.971455646848141230e-01,1.045880321994323792e+00,3.064225020348052692e-02
2.800000000000000266e-01,7.165331662419877068e-01,3.062788443381642134e-01,1.055500006154282966e+00,2.309050210058444588e-02
2.849999999999999756e-01,7.030539042657373283e-01,3.184860609043552726e-01,1.065007191512451712e+00,2.024369113509775706e-02
2.899999999999999800e-01,6.891874744034887090e-01,3.274488403496632061e-01,1.066411376962756563e+00,1.786900767500820830e-02
2.949999999999999845e-01,6.798602861477150983e-01,3.419385280329804155e-01,1.076143863831354075e+00,1.595600591866056656e-02
2.999999999999999889e-01,6.696208699104609918e-01,3.427177843944939073e-01,1.079380250811465158e+00,1.441083884567682244e-02
3.049999999999999933e-01,6.593119446725548283e-01,3.553476149409769413e-01,1.084830058454333557e+00,1.169677096812562697e-02
3.099999999999999978e-01,6.462908908417807075e-01,3.639252149409191728e-01,1.088225085640332379e+00,8.292851719998948004e-03
3.150000000000000022e-01,6.357692594832037303e-01,3.727638874483547027e-01,1.097407197868853990e+00,3.504354777156307946e-03
3.200000000000000067e-01,6.283549937253564144e-01,3.773432108533908425e-01,1.099016275560235734e+00,3.078052515879778524e-03
3.250000000000000111e-01,6.172391829987473599e-01,3.897772389592750186e-01,1.102218249826093288e+00,2.078574656407591176e-03
3.300000000000000155e-01,6.091063449698914667e-01,3.965466544699467466e-01,1.110460747992570552e+00,1.603004207440614053e-03
3.350000000000000200e-01,6.008624561300980327e-01,4.069115982960518907e-01,1.107131233296892336e+00,2.837026625513515855e-03
3.400000000000000244e-01,5.869979603471409124e-01,4.109676794519979692e-01,1.111724624405544315e+00,-1.820356591109497692e-03
3.449999999999999734e-01,5.819981115942413075e-01,4.238867972136926010e-01,1.115133755268297167e+00,-8.985130605708403165e-04
3.499999999999999778e-01,5.753708812539505280e-01,4.276188221228516273e-01,1.116366011435717009e+00,-2.436437225451108584e-04
3.549999999999999822e-01,5.639932023081535295e-01,4.337165090566597603e-01,1.118226635658513546e+00,4.342314231431369624e-03
3.599999999999999867e-01,5.548629436453491603e-01,4.420672322867914561e-01,1.116904458517785192e+00,3.054726555436810490e-03
3.649999999999999911e-01,5.501095906817925485e-01,4.451557459275753970e-01,1.119982477375535357e+00,4.481796689170956436e-04
3.699999999999999956e-01,5.414507029967071672e-01,4.523377807686700391e-01,1.121275833147381329e+00,7.578140326773739281e-04
3.750000000000000000e-01,5.352858821032550063e-01,4.617294551003946479e-01,1.121839023023919690e+00,1.311600474911051029e-03
3.800000000000000044e-01,5.255585287197961364e-01,4.659701900377514749e-01,1.125781168440926239e+00,9.819696444697116090e-04
3.850000000000000089e-01,5.162372164931119389e-01,4.725771220013316731e-01,1.123183290506962084e+00,6.284351207481818488e-04
3.900000000000000133e-01,5.121219067159306082e-01,4.736345265713580166e-01,1.128942482727719021e+00,1.705076470220744317e-03
3.950000000000000178e-01,5.047723347846974074e-01,4.808826514958158826e-01,1.129570046984980092e+00,2.881476604035669142e-03
4.000000000000000222e-01,5.007092122568869152e-01,4.855685619716013646e-01,1.127899018712304580e+00,2.801360532729174711e-03
4.050000000000000266e-01,4.932041985628468073e-01,4.973972877026858752e-01,1.128951197826257635e+00,5.679445405720262921e-03
4.099999999999999756e-01,4.833684833028475958e-01,4.988897685486767264e-01,1.129994768161840080e+00,3.157940566023736267e-03
4.149999999999999800e-01,4.781989114631420845e-01,5.066852732402873372e-01,1.127314804705220164e+00,6.190151452784684385e-03
