t,v1,v2,v3,v4
2.149999999999999967e-01,5.565407868672945790e-01,1.112367810073892960e+00,1.940588600769992622e+00,1.900431636964194926e-01
2.200000000000000011e-01,5.782834438737161076e-01,1.109014875032972469e+00,1.964460357340558350e+00,1.894673510144398998e-01
2.250000000000000056e-01,5.983303520032928757e-01,1.102627938303802901e+00,1.986930954917583758e+00,1.914797405439671862e-01
2.300000000000000100e-01,6.174563073002393709e-01,1.098722552698589761e+00,2.010891184879222582e+00,1.862904735025406044e-01
2.349999999999999867e-01,6.351844539582893745e-01,1.088602575587972021e+00,2.028869480778824119e+00,1.795356741313906268e-01
2.399999999999999911e-01,6.557454462846403764e-01,1.084528039069086125e+00,2.049172163566449711e+00,1.787359345905658592e-01
2.449999999999999956e-01,6.742359839423268664e-01,1.078777438528966570e+00,2.063802642499195983e+00,1.797111011671230496e-01
2.500000000000000000e-01,6.905143900888273123e-01,1.068451749219723634e+00,2.082596121373875508e+00,1.779492841840513706e-01
2.550000000000000044e-01,7.051698090758332649e-01,1.062875115648579616e+00,2.101257833046502377e+00,1.740246062240396741e-01
2.600000000000000089e-01,7.247113513354452863e-01,1.055660723619051389e+00,2.115800400760322386e+00,1.726958062200191768e-01
2.650000000000000133e-01,7.381911364925795027e-01,1.046967421996820580e+00,2.129002448526232882e+00,1.691439044829014249e-01
2.700000000000000178e-01,7.564006552894194657e-01,1.041120153873821730e+00,2.140248009599629686e+00,1.708837522213572102e-01
2.750000000000000222e-01,7.674495842541280144e-01,1.031944719133516264e+00,2.148673230751397156e+00,1.704616067707190874e-01
2.800000000000000266e-01,7.858774317959020816e-01,1.022675261123210610e+00,2.161740777402440639e+00,1.653326189199659790e-01
2.849999999999999756e-01,7.979719174422718053e-01,1.016618869363511202e+00,2.174302160537563644e+00,1.646174090763163067e-01
2.899999999999999800e-01,8.089915341089123357e-01,1.007489379246519379e+00,2.178389924634867914e+00,1.641008915510976385e-01
2.949999999999999845e-01,8.238582805991566671e-01,1.004087067655746068e+00,2.190457967522805305e+00,1.637899027332978263e-01
2.999999999999999889e-01,8.371192551683057648e-01,9.872003518409214751e-01,2.195703942796434660e+00,1.636073790628295443e-01
3.049999999999999933e-01,8.496184966823414619e-01,9.824129313714201617e-01,2.202858803559145873e+00,1.620328208490184052e-01
3.099999999999999978e-01,8.587172361158237344e-01,9.738417518489490554e-01,2.207675089436714977e+00,1.595609243649836750e-01
3.150000000000000022e-01,8.696331907831689190e-01,9.658170473983015425e-01,2.218014656158540099e+00,1.555119870755881373e-01
3.200000000000000067e-01,8.829825781293160203e-01,9.538326366667831957e-01,2.220536575303786897e+00,1.556471547533574418e-01
3.250000000000000111e-01,8.919666705561569708e-01,9.500142540028480020e-01,2.224425131034745373e+00,1.550447590623392768e-01
3.300000000000000155e-01,9.032818867830976206e-01,9.408518355027226665e-01,2.233145435441770132e+00,1.548148982532813467e-01
3.350000000000000200e-01,9.138476411638305485e-01,9.356124812706450022e-01,2.230101546245024213e+00,1.561555764105874433e-01
3.400000000000000244e-01,9.181691805729279565e-01,9.243965977317322169e-01,2.234804071820782223e+00,1.514774120013110126e-01
3.449999999999999734e-01,9.307477652407769586e-01,9.223788508562482669e-01,2.238160623389286119e+00,1.522619520784398162e-01
3.499999999999999778e-01,9.411084239686122732e-01,9.115099761899423392e-01,2.239192449825069708e+00,1.526732113941165481e-01
3.549999999999999822e-01,9.461460559622124622e-01,9.033418183236897603e-01,2.240717747258210935e+00,1.569187763099350874e-01
3.599999999999999867e-01,9.528772723388595489e-01,8.977591892489055203e-01,2.238937398587646399e+00,1.552028539399163964e-01
3.649999999999999911e-01,9.634509532491039030e-01,8.872427486113910744e-01,2.241445565594045508e+00,1.520882025223935785e-01
